,Entity,Year,Productivity,Life satisfaction in Cantril Ladder
90,Canada,2007,46.369289,7.482
91,Canada,2008,47.759228,7.486000000000001
92,Canada,2009,44.566868,7.4879999999999995
93,Canada,2010,46.686527000000005,7.65
94,Canada,2011,48.667168,7.426
95,Canada,2012,48.724464000000005,7.415
96,Canada,2013,49.829941,7.593999999999999
97,Canada,2014,52.130924,7.303999999999999
98,Canada,2015,48.761402000000004,7.412999999999999
99,Canada,2016,48.724659,7.245
100,Canada,2017,49.533581,7.415
101,Chile,2006,18.554628,6.063
102,Chile,2007,19.937067000000003,5.6979999999999995
103,Chile,2008,19.130981,5.789
104,Chile,2009,19.867517000000003,6.494
105,Chile,2010,21.550421,6.636
106,Chile,2011,23.058467999999998,6.526
107,Chile,2012,24.894268,6.599
108,Chile,2013,24.442171,6.74
109,Chile,2014,25.616692999999998,6.843999999999999
110,Chile,2015,25.208192999999998,6.5329999999999995
111,Chile,2016,25.770044,6.579
112,Chile,2017,25.596708,6.32
113,China,2006,5.2627792,4.56
114,China,2007,5.7209096,4.863
115,China,2008,6.1198874000000005,4.846
116,China,2009,6.628291099999999,4.454
117,China,2010,7.5316753,4.6530000000000005
118,China,2011,8.2591143,5.037
119,China,2012,8.558216999999999,5.095
120,China,2013,9.01577,5.2410000000000005
121,China,2014,9.547219300000002,5.196000000000001
122,China,2015,9.745397599999999,5.303999999999999
123,China,2016,10.073822,5.325
124,China,2017,10.679488000000001,5.099
125,Colombia,2006,10.099349,6.025
126,Colombia,2007,10.881798,6.138
127,Colombia,2008,11.519242,6.167999999999999
128,Colombia,2009,11.278932000000001,6.272
129,Colombia,2010,11.932921,6.4079999999999995
130,Colombia,2011,12.829151,6.4639999999999995
131,Colombia,2012,13.124943,6.375
132,Colombia,2013,13.498080999999999,6.607
133,Colombia,2014,13.722745000000002,6.449
134,Colombia,2015,13.252648,6.388
135,Colombia,2016,13.394485000000001,6.234
136,Colombia,2017,13.624675,6.157
137,Costa Rica,2006,10.783611,7.082000000000001
138,Costa Rica,2007,10.704572,7.432
139,Costa Rica,2008,11.164247999999999,6.851
140,Costa Rica,2009,12.272578999999999,7.615
141,Costa Rica,2010,13.246943,7.271
142,Costa Rica,2011,14.130107,7.229
143,Costa Rica,2012,13.661233,7.272
144,Costa Rica,2013,14.106654999999998,7.1579999999999995
145,Costa Rica,2014,14.991574,7.247000000000001
146,Costa Rica,2015,15.579279000000001,6.854
147,Costa Rica,2016,16.333437,7.136
148,Costa Rica,2017,16.573801,7.225
149,Croatia,2007,25.252413,5.821000000000001
150,Croatia,2009,25.276467999999998,5.433
151,Croatia,2010,25.818447,5.596
152,Croatia,2011,27.837435,5.385
153,Croatia,2012,29.592051,6.028
154,Croatia,2013,29.508682,5.885
155,Croatia,2014,28.892735,5.381
156,Croatia,2015,31.062959999999997,5.205
157,Croatia,2016,32.297134,5.417000000000001
158,Croatia,2017,34.250996,5.343
159,Cyprus,2006,34.532082,6.2379999999999995
160,Cyprus,2009,35.625862,6.832999999999999
161,Cyprus,2010,36.305305,6.3870000000000005
162,Cyprus,2011,36.736736,6.69
163,Cyprus,2012,38.530453,6.181
164,Cyprus,2013,38.824921,5.439
165,Cyprus,2014,37.900982,5.627000000000001
166,Cyprus,2015,41.085045,5.439
167,Cyprus,2016,41.546504999999996,5.795
168,Cyprus,2017,42.187675,6.062
169,Czechia,2005,26.817575,6.439
170,Czechia,2007,29.348254999999998,6.5
171,Czechia,2010,30.004965000000002,6.25
172,Czechia,2011,30.976297,6.331
173,Czechia,2012,31.208853,6.334
174,Czechia,2013,31.387775,6.6979999999999995
175,Czechia,2014,32.350433,6.484
176,Czechia,2015,33.047847999999995,6.608
177,Czechia,2016,32.989727,6.736000000000001
178,Czechia,2017,34.756939,6.79
179,Denmark,2005,51.236633000000005,8.019
180,Denmark,2007,52.967224,7.834
181,Denmark,2008,55.808689,7.971
182,Denmark,2009,55.829517,7.683
183,Denmark,2010,60.743644999999994,7.771
184,Denmark,2011,62.03396600000001,7.787999999999999
185,Denmark,2012,61.97694,7.52
186,Denmark,2013,61.509865000000005,7.5889999999999995
187,Denmark,2014,61.47584200000001,7.507999999999999
188,Denmark,2015,60.947285,7.513999999999999
189,Denmark,2016,61.56283199999999,7.558
190,Denmark,2017,64.705177,7.593999999999999
191,Ecuador,2006,10.052174,5.024
192,Ecuador,2007,10.570633,4.996
193,Ecuador,2008,11.239181,5.297000000000001
194,Ecuador,2009,11.050797,6.022
195,Ecuador,2010,12.024403,5.837999999999999
196,Ecuador,2011,13.277621,5.795
197,Ecuador,2012,13.616939000000002,5.961
198,Ecuador,2013,14.084748000000001,6.019
199,Ecuador,2014,14.471516000000001,5.946000000000001
200,Ecuador,2015,13.159917000000002,5.9639999999999995
201,Ecuador,2016,12.277091,6.115
202,Ecuador,2017,12.181006,5.84
203,Estonia,2006,19.281914,5.371
204,Estonia,2007,21.388815,5.332000000000001
205,Estonia,2008,22.192235999999998,5.452000000000001
206,Estonia,2009,23.795826,5.138
207,Estonia,2011,26.16188,5.487
208,Estonia,2012,27.522696000000003,5.364
209,Estonia,2013,27.973196,5.367000000000001
210,Estonia,2014,27.948025,5.556
211,Estonia,2015,26.734509999999997,5.629
212,Estonia,2016,27.188126,5.65
213,Estonia,2017,28.027826,5.938
214,Finland,2006,46.334465,7.672000000000001
215,Finland,2008,50.344357,7.671
216,Finland,2010,49.710518,7.393
217,Finland,2011,50.432434,7.354
218,Finland,2012,50.055206,7.42
219,Finland,2013,48.873863,7.445
220,Finland,2014,49.116013,7.385
221,Finland,2015,50.37709,7.4479999999999995
222,Finland,2016,51.384846,7.66
223,Finland,2017,52.561089,7.787999999999999
224,France,2005,52.823704000000006,7.093
225,France,2006,54.199505,6.582999999999999
226,France,2008,55.132225,7.007999999999999
227,France,2009,54.62536600000001,6.2829999999999995
228,France,2010,56.513912,6.797999999999999
229,France,2011,57.706931999999995,6.959
230,France,2012,57.548756000000004,6.649
231,France,2013,59.160408,6.667000000000001
232,France,2014,59.467934,6.4670000000000005
233,France,2015,60.860721999999996,6.358
234,France,2016,61.625038,6.475
235,France,2017,62.785526000000004,6.635
236,Germany,2005,55.15741,6.62
237,Germany,2007,57.627258,6.417000000000001
238,Germany,2008,58.517672999999995,6.522
239,Germany,2009,56.404095,6.641
240,Germany,2010,58.186855,6.725
241,Germany,2011,60.34544399999999,6.621
242,Germany,2012,60.103127,6.702000000000001
243,Germany,2013,61.47734499999999,6.965
244,Germany,2014,63.05055600000001,6.984
245,Germany,2015,62.594673,7.037000000000001
246,Germany,2016,64.647247,6.874
247,Germany,2017,66.710243,7.074
248,Greece,2005,28.650883,6.006
249,Greece,2007,30.256641,6.647
250,Greece,2009,30.409354999999998,6.039
251,Greece,2010,30.012945000000002,5.84
252,Greece,2011,28.866495,5.372000000000001
253,Greece,2012,29.019201000000002,5.096
254,Greece,2013,30.108801,4.72
255,Greece,2014,30.253760999999997,4.756
256,Greece,2015,30.193913000000002,5.622999999999999
257,Greece,2016,29.757895,5.303
258,Greece,2017,30.181441999999997,5.148
259,Hong Kong,2006,36.785652,5.511
260,Hong Kong,2008,37.166389,5.1370000000000005
261,Hong Kong,2009,33.858013,5.397
262,Hong Kong,2010,36.106640000000006,5.643
263,Hong Kong,2011,38.807663,5.474
264,Hong Kong,2012,39.321583000000004,5.484
265,Hong Kong,2014,39.781631,5.457999999999999
266,Hong Kong,2016,34.636333,5.497999999999999
267,Hong Kong,2017,35.351849,5.362
268,Hungary,2005,22.315027,5.194
269,Hungary,2007,22.420172,4.954
270,Hungary,2009,24.743017000000002,4.895
271,Hungary,2010,26.36804,4.725
272,Hungary,2011,27.50511,4.918
273,Hungary,2012,27.326990000000002,4.683
274,Hungary,2013,27.302567,4.914
275,Hungary,2014,26.201807000000002,5.181
276,Hungary,2015,25.77124,5.343999999999999
277,Hungary,2016,24.49296,5.449
278,Hungary,2017,25.323359,6.065
279,Iceland,2008,53.50290699999999,6.888
280,Iceland,2012,48.557827,7.591
281,Iceland,2013,47.482791999999996,7.501
282,Iceland,2015,47.978832000000004,7.497999999999999
283,Iceland,2016,48.096577,7.51
284,Iceland,2017,48.085415000000005,7.476
285,India,2006,3.5525711,5.348
286,India,2007,4.0003366,5.027
287,India,2008,4.257039099999999,5.146
288,India,2009,4.557739700000001,4.522
289,India,2010,5.2355585,4.989
290,India,2011,5.6497903,4.635
291,India,2012,5.9812398,4.72
292,India,2013,6.161723599999999,4.428
293,India,2014,6.4680362,4.4239999999999995
294,India,2015,6.7829533,4.342
295,India,2016,7.1186538,4.178999999999999
296,India,2017,7.552918400000001,4.046
297,Indonesia,2006,5.4479251,4.947
298,Indonesia,2007,5.5765514000000005,5.101
299,Indonesia,2008,6.479519799999999,4.815
300,Indonesia,2009,6.9240618000000005,5.472
301,Indonesia,2010,7.9644461,5.457000000000001
302,Indonesia,2011,9.6639261,5.172999999999999
303,Indonesia,2012,10.016643,5.367999999999999
304,Indonesia,2013,10.296669999999999,5.292000000000001
305,Indonesia,2014,10.634439,5.597
306,Indonesia,2015,10.614253999999999,5.043
307,Indonesia,2016,10.881228,5.136
308,Indonesia,2017,11.26875,5.098
309,Ireland,2006,56.021301,7.144
310,Ireland,2008,57.871777,7.568
311,Ireland,2009,60.784943000000005,7.046
312,Ireland,2010,64.20047,7.257000000000001
313,Ireland,2011,69.324318,7.007000000000001
314,Ireland,2012,70.531242,6.965
315,Ireland,2013,68.966652,6.76
316,Ireland,2014,72.749329,7.018
317,Ireland,2015,91.498856,6.83
318,Ireland,2016,96.044075,7.041
319,Ireland,2017,99.129036,7.06
320,Israel,2006,32.770725,7.172999999999999
321,Israel,2007,31.606594,6.841
322,Israel,2008,30.527592,7.261
323,Israel,2009,31.349033000000002,7.353
324,Israel,2010,31.81395,7.359
325,Israel,2011,32.39439,7.433
326,Israel,2012,33.366642,7.111000000000001
327,Israel,2013,34.766921999999994,7.321000000000001
328,Israel,2014,36.690536,7.401
329,Israel,2015,37.777508000000005,7.079
330,Israel,2016,37.812836,7.159
331,Israel,2017,38.105255,7.331
332,Italy,2005,42.700417,6.854
333,Italy,2007,44.729683,6.574
334,Italy,2008,46.08728,6.78
335,Italy,2009,45.958931,6.334
336,Italy,2010,46.788708,6.354
337,Italy,2011,48.193611,6.057
338,Italy,2012,49.051674,5.8389999999999995
339,Italy,2013,50.018944,6.0089999999999995
340,Italy,2014,50.468078999999996,6.027
341,Italy,2015,50.793781,5.848
342,Italy,2016,52.314011,5.955
343,Italy,2017,53.288624,6.199
344,Japan,2005,38.687721,6.516
345,Japan,2007,39.345524,6.2379999999999995
346,Japan,2008,39.054733,5.9110000000000005
347,Japan,2009,38.6922,5.845
348,Japan,2010,40.082291,6.057
349,Japan,2011,39.667797,6.263
350,Japan,2012,40.031647,5.968
351,Japan,2013,40.966282,5.959
352,Japan,2014,41.293217,5.922999999999999
353,Japan,2015,42.423306,5.88
354,Japan,2016,42.93734,5.955
355,Japan,2017,43.353165000000004,5.9110000000000005
356,Latvia,2006,17.810238000000002,4.71
357,Latvia,2007,18.968021,4.667
358,Latvia,2008,18.979692,5.145
359,Latvia,2009,19.657207,4.669
360,Latvia,2011,22.929264,4.967
361,Latvia,2012,23.571009,5.125
362,Latvia,2013,23.512043,5.07
363,Latvia,2014,24.644011,5.729
364,Latvia,2015,25.696749,5.881
365,Latvia,2016,26.077209,5.94
366,Latvia,2017,28.094965000000002,5.978
367,Lithuania,2006,20.377287,5.954
368,Lithuania,2007,21.329887,5.808
369,Lithuania,2008,22.532894,5.553999999999999
370,Lithuania,2009,21.980915,5.4670000000000005
371,Lithuania,2010,24.338167000000002,5.066
372,Lithuania,2011,26.741983,5.432
373,Lithuania,2012,27.756990000000002,5.771
374,Lithuania,2013,27.958414,5.596
375,Lithuania,2014,28.783911,6.126
376,Lithuania,2015,28.156934999999997,5.711
377,Lithuania,2016,27.448,5.8660000000000005
378,Lithuania,2017,29.458128000000002,6.273
379,Luxembourg,2009,48.239399,6.957999999999999
380,Luxembourg,2010,53.972374,7.097
381,Luxembourg,2011,50.240916999999996,7.101
382,Luxembourg,2012,54.101482,6.9639999999999995
383,Luxembourg,2013,52.159534,7.131
384,Luxembourg,2014,60.408566,6.891
385,Luxembourg,2015,64.46772,6.702000000000001
386,Luxembourg,2016,66.75119000000001,6.9670000000000005
387,Luxembourg,2017,68.358604,7.061
388,Malaysia,2006,16.163841,6.0120000000000005
389,Malaysia,2007,17.608519,6.239
390,Malaysia,2008,19.780594,5.807
391,Malaysia,2009,18.132915,5.385
392,Malaysia,2010,18.19565,5.58
393,Malaysia,2011,19.913088000000002,5.7860000000000005
394,Malaysia,2012,20.517605,5.914
395,Malaysia,2013,20.846027,5.77
396,Malaysia,2014,20.827621,5.962999999999999
397,Malaysia,2015,20.386311,6.322
398,Malta,2009,26.293644,6.327999999999999
399,Malta,2010,27.713210999999998,5.774
400,Malta,2011,28.098928000000004,6.155
401,Malta,2012,28.33428,5.962999999999999
402,Malta,2013,27.474531,6.38
403,Malta,2014,27.140625,6.452000000000001
404,Malta,2015,31.942498999999998,6.6129999999999995
405,Malta,2016,30.936943,6.591
406,Malta,2017,32.872603999999995,6.676
407,Mexico,2005,15.436988000000001,6.581
408,Mexico,2007,15.823823999999998,6.525
409,Mexico,2008,15.835860999999998,6.829
410,Mexico,2009,15.435143,6.962999999999999
411,Mexico,2010,15.391223000000002,6.8020000000000005
412,Mexico,2011,16.635841,6.91
413,Mexico,2012,16.627001,7.32
414,Mexico,2013,17.227352,7.443
415,Mexico,2014,18.125242,6.68
416,Mexico,2015,17.509512,6.236000000000001
417,Mexico,2016,17.575348,6.824
418,Mexico,2017,17.716841,6.41
419,Myanmar,2012,3.0306535,4.439
420,Myanmar,2013,3.4592370999999997,4.176
421,Myanmar,2014,3.7327595000000002,4.7860000000000005
422,Myanmar,2015,3.8348627,4.224
423,Myanmar,2016,3.8518491000000004,4.623
424,Myanmar,2017,4.0099111,4.154
425,Netherlands,2005,58.245831,7.4639999999999995
426,Netherlands,2007,60.577805000000005,7.452000000000001
427,Netherlands,2008,62.078987,7.631
428,Netherlands,2010,58.601718999999996,7.502000000000001
429,Netherlands,2011,59.323879000000005,7.564
430,Netherlands,2012,61.029037,7.471
431,Netherlands,2013,65.256027,7.407
432,Netherlands,2014,61.949635,7.321000000000001
433,Netherlands,2015,60.876217000000004,7.324
434,Netherlands,2016,59.38224399999999,7.541
435,Netherlands,2017,61.431767,7.459
436,New Zealand,2006,30.932261999999998,7.305
437,New Zealand,2007,32.86245,7.604
438,New Zealand,2008,33.118595,7.381
439,New Zealand,2010,35.145561,7.224
440,New Zealand,2011,36.16444,7.191
441,New Zealand,2012,36.60627,7.25
442,New Zealand,2013,37.645927,7.28
443,New Zealand,2014,38.48402,7.306
444,New Zealand,2015,38.5625,7.417999999999999
445,New Zealand,2016,39.368458000000004,7.226
446,New Zealand,2017,38.800846,7.327000000000001
447,Nigeria,2010,7.991510400000001,4.76
448,Nigeria,2012,9.118484500000001,5.492999999999999
449,Nigeria,2013,9.0460615,4.8180000000000005
450,Nigeria,2015,8.818744699999998,4.933
451,Nigeria,2016,7.1218705,5.22
452,Nigeria,2017,6.8703432,5.322
453,Norway,2006,97.2388,7.416
454,Norway,2008,103.7504,7.632000000000001
455,Norway,2012,109.77214,7.678
456,Norway,2014,99.664436,7.444
457,Norway,2015,83.146919,7.603
458,Norway,2016,79.052994,7.596
459,Norway,2017,80.832024,7.579
460,Pakistan,2005,5.6253428,5.225
461,Pakistan,2007,6.112824900000001,5.671
462,Pakistan,2008,6.3127512999999995,4.414
463,Pakistan,2009,6.5133333,5.207999999999999
464,Pakistan,2010,6.7230115,5.7860000000000005
465,Pakistan,2011,7.0688071,5.267
466,Pakistan,2012,7.1446867,5.132000000000001
467,Pakistan,2013,7.2425332,5.138
468,Pakistan,2014,7.553397200000001,5.436
469,Pakistan,2015,7.6864133,4.823
470,Pakistan,2016,7.8258204,5.5489999999999995
471,Pakistan,2017,8.1883068,5.831
472,Peru,2006,7.0596633,4.811
473,Peru,2007,7.580441,5.2139999999999995
474,Peru,2008,8.155105599999999,5.129
475,Peru,2009,8.1626272,5.519
476,Peru,2010,9.2393875,5.6129999999999995
477,Peru,2011,10.031083,5.892
478,Peru,2012,10.476438,5.825
479,Peru,2013,10.791739,5.7829999999999995
480,Peru,2014,11.031838,5.8660000000000005
481,Peru,2015,10.910213,5.577000000000001
482,Peru,2016,11.112116,5.7010000000000005
483,Peru,2017,11.187585,5.711
484,Philippines,2006,5.8933158,4.67
485,Philippines,2007,6.1514235,5.074
486,Philippines,2008,6.4201455,4.5889999999999995
487,Philippines,2009,6.490972,4.88
488,Philippines,2010,6.9427061000000005,4.942
489,Philippines,2011,7.3528395,4.994
490,Philippines,2012,7.558055900000001,5.002
491,Philippines,2013,8.0290146,4.977
492,Philippines,2014,8.3025208,5.313
493,Philippines,2015,8.5515108,5.547000000000001
494,Philippines,2016,8.9257526,5.431
495,Philippines,2017,9.638925599999999,5.593999999999999
496,Poland,2005,20.315781,5.587000000000001
497,Poland,2007,21.269712,5.886
498,Poland,2009,22.790067999999998,5.772
499,Poland,2010,25.73745,5.8870000000000005
500,Poland,2011,27.439970000000002,5.646
501,Poland,2012,28.418705,5.876
502,Poland,2013,28.529172999999997,5.746
503,Poland,2014,28.346479,5.75
504,Poland,2015,29.156763,6.007000000000001
505,Poland,2016,29.509626,6.162000000000001
506,Poland,2017,31.061352000000003,6.2010000000000005
507,Portugal,2006,27.243927000000003,5.405
508,Portugal,2008,27.551277000000002,5.7170000000000005
509,Portugal,2010,29.439457,5.095
510,Portugal,2011,29.378988,5.22
511,Portugal,2012,30.544796,4.994
512,Portugal,2013,31.445803,5.1579999999999995
513,Portugal,2014,31.280638,5.127000000000001
514,Portugal,2015,31.738721999999996,5.081
515,Portugal,2016,29.084703,5.447
516,Portugal,2017,27.799564,5.711
517,Romania,2005,14.113142000000002,5.0489999999999995
518,Romania,2007,17.815891,5.394
519,Romania,2009,20.887705,5.367999999999999
520,Romania,2010,21.623081,4.909
521,Romania,2011,22.214351999999998,5.023
522,Romania,2012,25.799992,5.167000000000001
523,Romania,2013,26.24255,5.082
524,Romania,2014,26.77807,5.727
525,Romania,2015,28.864254,5.777
526,Romania,2016,31.298994,5.968999999999999
527,Romania,2017,33.353190999999995,6.09
528,Russia,2006,17.05549,4.9639999999999995
529,Russia,2007,19.792637,5.223
530,Russia,2008,22.57509,5.619
531,Russia,2009,20.676634,5.1579999999999995
532,Russia,2010,23.415195,5.385
533,Russia,2011,26.708319,5.388999999999999
534,Russia,2012,27.809864,5.621
535,Russia,2013,28.132402000000003,5.537000000000001
536,Russia,2014,27.458197,6.037000000000001
537,Russia,2015,24.142157,5.996
538,Russia,2016,23.370552,5.855
539,Russia,2017,23.9105,5.579
540,Singapore,2006,43.825171999999995,6.462999999999999
541,Singapore,2007,44.301811,6.834
542,Singapore,2008,36.521801,6.642
543,Singapore,2009,34.447548,6.145
544,Singapore,2010,41.63641,6.531000000000001
545,Singapore,2011,43.99947,6.561
546,Singapore,2013,41.677673,6.5329999999999995
547,Singapore,2014,45.365833,7.062
548,Singapore,2015,45.118176,6.62
549,Singapore,2016,45.456043,6.0329999999999995
550,Singapore,2017,48.246395,6.377999999999999
551,Slovakia,2006,26.389233,5.265
552,Slovakia,2010,31.523878000000003,6.0520000000000005
553,Slovakia,2011,31.539068,5.945
554,Slovakia,2012,31.661572999999997,5.9110000000000005
555,Slovakia,2013,31.856274,5.937
556,Slovakia,2014,32.51693,6.138999999999999
557,Slovakia,2015,31.958994,6.162000000000001
558,Slovakia,2016,32.289009,5.992999999999999
559,Slovakia,2017,32.731033000000004,6.3660000000000005
560,Slovenia,2006,31.19363,5.811
561,Slovenia,2009,31.338003000000004,5.83
562,Slovenia,2010,32.622787,6.082999999999999
563,Slovenia,2011,34.491257,6.0360000000000005
564,Slovenia,2012,35.057224,6.063
565,Slovenia,2013,34.592617,5.975
566,Slovenia,2014,34.702248,5.678
567,Slovenia,2015,33.564655,5.7410000000000005
568,Slovenia,2016,33.966694,5.937
569,Slovenia,2017,35.628292,6.167000000000001
570,South Africa,2006,15.478129999999998,5.084
571,South Africa,2007,16.541586,5.204
572,South Africa,2008,16.648007999999997,5.346
573,South Africa,2009,16.7883,5.218
574,South Africa,2010,17.801285,4.652
575,South Africa,2011,17.750896,4.931
576,South Africa,2012,17.676292,5.1339999999999995
577,South Africa,2013,17.453863000000002,3.661
578,South Africa,2014,17.473833,4.828
579,South Africa,2015,17.025166,4.887
580,South Africa,2016,16.885654000000002,4.77
581,South Africa,2017,16.673927,4.513999999999999
582,South Korea,2006,25.477766,5.332000000000001
583,South Korea,2007,27.152468,5.767
584,South Korea,2008,28.247784000000003,5.39
585,South Korea,2009,28.269517999999998,5.648
586,South Korea,2010,30.454895,6.1160000000000005
587,South Korea,2011,30.957315,6.947
588,South Korea,2012,30.769899,6.002999999999999
589,South Korea,2013,30.885378000000003,5.959
590,South Korea,2014,31.758259000000002,5.801
591,South Korea,2015,32.598591,5.78
592,South Korea,2016,33.443001,5.971
593,South Korea,2017,34.063381,5.874
594,Spain,2005,37.863857,7.153
595,Spain,2007,41.802025,6.995
596,Spain,2008,42.418053,7.294
597,Spain,2009,43.673996,6.199
598,Spain,2010,44.376197999999995,6.188
599,Spain,2011,44.979164000000004,6.518
600,Spain,2012,47.039505,6.291
601,Spain,2013,47.722145000000005,6.15
602,Spain,2014,47.99633,6.456
603,Spain,2015,49.117661,6.381
604,Spain,2016,49.611275,6.319
605,Spain,2017,51.166035,6.23
606,Sri Lanka,2006,9.5143747,4.345
607,Sri Lanka,2007,10.397677999999999,4.415
608,Sri Lanka,2008,10.579543,4.431
609,Sri Lanka,2009,11.958086999999999,4.212
610,Sri Lanka,2010,12.680842,3.977
611,Sri Lanka,2011,13.664107999999999,4.181
612,Sri Lanka,2012,14.551908,4.225
613,Sri Lanka,2013,16.188269000000002,4.365
614,Sri Lanka,2014,16.819962,4.268
615,Sri Lanka,2015,17.752010000000002,4.612
616,Sri Lanka,2017,18.845987,4.331
617,Sweden,2005,48.702824,7.376
618,Sweden,2007,51.946018,7.2410000000000005
619,Sweden,2008,52.568012,7.516
620,Sweden,2009,50.203243,7.266
621,Sweden,2010,51.550301,7.496
622,Sweden,2011,53.324692000000006,7.382000000000001
623,Sweden,2012,53.895897,7.56
624,Sweden,2013,52.964496999999994,7.434
625,Sweden,2014,52.183731,7.239
626,Sweden,2015,53.316844999999994,7.289
627,Sweden,2016,52.277542,7.369
628,Sweden,2017,54.095797999999995,7.287000000000001
629,Switzerland,2006,51.734818,7.473
630,Switzerland,2009,58.402611,7.525
631,Switzerland,2012,66.947632,7.776
632,Switzerland,2014,69.212776,7.492999999999999
633,Switzerland,2015,68.097389,7.572
634,Switzerland,2016,67.68856,7.459
635,Switzerland,2017,69.256592,7.474
636,Taiwan,2006,36.703526000000004,6.189
637,Taiwan,2008,36.419056,5.547999999999999
638,Taiwan,2010,38.292358,6.229
639,Taiwan,2011,39.260715000000005,6.309
640,Taiwan,2012,38.479519,6.126
641,Taiwan,2013,39.086009999999995,6.34
642,Taiwan,2014,40.906307,6.3629999999999995
643,Taiwan,2015,40.959194000000004,6.45
644,Taiwan,2016,42.738758000000004,6.513
645,Taiwan,2017,43.47332,6.359
646,Thailand,2006,7.595292999999999,5.885
647,Thailand,2007,7.946787400000001,5.784
648,Thailand,2008,8.2848186,5.636
649,Thailand,2009,8.0090408,5.476
650,Thailand,2010,9.0369587,6.2170000000000005
651,Thailand,2011,9.4008026,6.664
652,Thailand,2012,10.307821,6.3
653,Thailand,2013,10.834773,6.231
654,Thailand,2014,11.119384,6.985
